state_abbr,state,county,fips,population,obesity,diabetes,inactivity
KS,Kansas,Greenwood,20073,"5,870",40.7,14.4,29.9
VA,Virginia,Tazewell,51185,"39,120",40.4,15.9,31.0
OH,Ohio,Summit,39153,"535,733",37.6,13.7,26.2
OR,Oregon,Multnomah,41051,"789,698",28.9,9.5,17.6
OK,Oklahoma,Choctaw,40023,"14,276",45.4,17.2,38.6
KS,Kansas,Comanche,20033,"1,655",39.2,13.3,29.1
MI,Michigan,Lenawee,26091,"97,520",40.6,12.4,26.4
NC,North Carolina,Camden,37029,"11,137",35.2,10.7,21.2
VA,Virginia,Manassas Park,51685,"16,361",38.6,13.8,30.8
LA,Louisiana,Franklin,22041,"19,285",42.0,18.4,37.7
TX,Texas,San Saba,48411,"5,845",35.8,14.2,30.9
MT,Montana,Sweet Grass,30097,"3,763",29.4,10.9,22.0
GA,Georgia,Charlton,13049,"12,934",41.5,16.1,34.3
ND,North Dakota,Cavalier,38019,"3,596",39.5,11.8,23.9
KS,Kansas,Pratt,20151,"9,082",36.5,12.1,28.5
IN,Indiana,Miami,18103,"35,402",44.3,14.6,28.4
NE,Nebraska,Polk,31143,"5,228",40.4,12.0,28.3
MO,Missouri,Cole,29051,"77,278",36.6,11.0,27.4
MI,Michigan,Clinton,26037,"79,720",35.2,10.6,21.8
IL,Illinois,DuPage,17043,"921,213",29.2,10.0,19.0
NV,Nevada,White Pine,32033,"8,522",34.4,12.6,26.8
SD,South Dakota,Moody,46101,"6,450",33.6,12.1,23.8
WY,Wyoming,Laramie,56021,"100,984",33.8,10.5,27.5
GA,Georgia,Cook,13075,"17,714",37.6,16.5,32.6
TX,Texas,McCulloch,48307,"7,452",36.4,15.5,32.1
OK,Oklahoma,McClain,40087,"47,072",38.5,11.3,28.6
GA,Georgia,Seminole,13253,"9,092",39.4,18.0,33.3
LA,Louisiana,Livingston,22063,"150,145",38.9,12.7,27.3
NV,Nevada,Eureka,32011,"1,917",38.8,16.1,31.5
GA,Georgia,Dawson,13085,"31,732",31.6,11.6,23.5
SD,South Dakota,Hamlin,46057,"6,451",34.6,10.1,23.2
VA,Virginia,Southampton,51175,"17,975",38.4,15.9,27.2
NE,Nebraska,Deuel,31049,"1,871",39.8,14.2,29.4
NE,Nebraska,Hayes,31085,846,41.0,14.1,31.2
NC,North Carolina,Orange,37135,"150,626",28.0,9.3,18.1
TX,Texas,Camp,48063,"13,000",40.0,16.1,33.8
ND,North Dakota,Sheridan,38083,"1,266",36.2,13.9,28.2
OK,Oklahoma,Cotton,40033,"5,427",43.1,15.4,35.0
WV,West Virginia,Wayne,54099,"37,686",42.6,16.9,35.7
TX,Texas,Denton,48121,"1,007,703",33.7,9.9,21.2
TX,Texas,Red River,48387,"11,678",38.5,16.9,32.5
TX,Texas,Foard,48155,"1,079",40.1,18.2,35.6
MA,Massachusetts,Barnstable,25001,"231,735",26.3,10.7,19.0
IA,Iowa,Floyd,19067,"15,326",39.8,12.9,27.5
AR,Arkansas,Pike,05109,"10,208",38.3,14.4,34.4
MS,Mississippi,Yalobusha,28161,"12,386",40.1,19.0,39.8
AL,Alabama,Hale,01065,"14,888",47.6,19.7,36.0
AL,Alabama,Houston,01069,"108,462",40.5,15.7,29.0
MI,Michigan,Kent,26081,"661,354",34.8,10.3,21.6
AR,Arkansas,Lafayette,05073,"6,095",46.0,20.6,43.5
WI,Wisconsin,La Crosse,55063,"120,486",37.5,10.1,25.1
TX,Texas,Comal,48091,"193,928",35.0,11.2,21.8
NE,Nebraska,Wheeler,31183,775,38.4,13.2,26.7
VA,Virginia,Petersburg,51730,"33,309",46.6,19.2,34.2
MO,Missouri,Marion,29127,"28,336",39.6,12.8,31.4
NC,North Carolina,Gaston,37071,"237,242",36.2,12.3,25.3
AL,Alabama,Marengo,01091,"18,684",43.1,19.8,34.6
IA,Iowa,Mitchell,19131,"10,518",40.1,12.2,26.4
AR,Arkansas,Nevada,05099,"8,120",44.0,18.3,40.8
IN,Indiana,Lawrence,18093,"45,084",42.0,13.9,26.8
CO,Colorado,La Plata,08067,"56,407",20.9,9.3,16.1
AL,Alabama,Washington,01129,"15,022",41.1,17.0,31.9
ND,North Dakota,Ransom,38073,"5,603",37.9,12.1,25.1
MI,Michigan,Otsego,26137,"25,747",38.1,12.3,25.7
MO,Missouri,Wayne,29223,"10,811",41.5,17.4,39.1
TX,Texas,Sherman,48421,"2,678",35.4,12.9,28.5
ID,Idaho,Franklin,16041,"15,494",35.7,9.4,22.6
AR,Arkansas,Stone,05137,"12,671",39.8,17.0,37.9
IL,Illinois,Wabash,17185,"10,942",39.8,13.3,25.6
CO,Colorado,Pueblo,08101,"169,422",32.1,12.3,26.8
WI,Wisconsin,Vilas,55125,"23,885",38.4,13.8,28.7
AL,Alabama,Conecuh,01035,"11,174",46.4,22.1,39.4
GA,Georgia,Fayette,13113,"123,351",30.7,12.6,21.2
VA,Virginia,Pulaski,51155,"33,655",35.7,14.1,27.9
MN,Minnesota,Pipestone,27117,"9,245",38.5,12.7,28.0
TN,Tennessee,Wilson,47189,"163,674",31.2,11.3,21.8
AR,Arkansas,Lawrence,05075,"16,318",43.7,14.4,36.3
SD,South Dakota,Clay,46027,"15,431",34.7,8.1,21.7
TX,Texas,Kerr,48265,"53,915",34.4,14.7,28.0
MT,Montana,Missoula,30063,"121,849",26.2,8.3,16.5
FL,Florida,Putnam,12107,"75,955",33.1,17.5,33.7
IN,Indiana,Huntington,18069,"36,781",39.9,13.3,25.2
IL,Illinois,Brown,17009,"6,294",41.5,11.7,26.4
ID,Idaho,Lincoln,16063,"5,450",34.2,11.5,27.9
LA,Louisiana,Rapides,22079,"126,260",40.7,15.6,31.4
IA,Iowa,Des Moines,19057,"38,253",34.6,12.3,28.2
ID,Idaho,Bonneville,16019,"131,366",33.3,9.4,21.4
KS,Kansas,Cloud,20029,"8,854",41.4,12.3,29.0
KS,Kansas,Scott,20171,"4,922",38.1,11.4,26.4
AR,Arkansas,Searcy,05129,"7,806",39.9,17.6,38.6
NY,New York,Broome,36007,"196,077",33.1,10.9,24.4
WI,Wisconsin,Green,55045,"36,951",40.3,11.3,26.5
TX,Texas,San Jacinto,48407,"28,936",39.0,16.4,32.4
GA,Georgia,Colquitt,13071,"46,167",35.7,16.7,35.0
WA,Washington,King,53033,"2,271,380",22.6,7.3,13.9
IL,Illinois,Whiteside,17195,"54,498",36.2,13.0,25.4
CA,California,Calaveras,06009,"46,565",29.8,13.2,24.8
NC,North Carolina,Craven,37049,"102,391",36.9,12.5,24.8
GA,Georgia,Brooks,13027,"16,245",40.2,20.0,36.7
OH,Ohio,Ashtabula,39007,"96,845",45.8,16.2,34.5
VA,Virginia,Greene,51079,"21,301",37.8,12.7,25.8
VA,Virginia,Newport News,51700,"183,118",40.8,13.5,28.1
OR,Oregon,Jefferson,41031,"25,454",35.5,13.4,23.3
IN,Indiana,Howard,18067,"83,831",36.5,14.4,27.8
NY,New York,Tompkins,36109,"103,558",24.6,7.6,17.9
AL,Alabama,Dale,01045,"49,871",41.3,15.8,31.7
MT,Montana,Gallatin,30031,"126,409",23.0,6.7,13.9
NJ,New Jersey,Hudson,34017,"705,472",27.9,10.5,27.9
MN,Minnesota,Steele,27147,"37,421",37.4,10.9,24.3
AL,Alabama,Madison,01089,"412,600",39.9,12.1,22.7
UT,Utah,Millard,49027,"13,437",34.1,11.8,23.3
UT,Utah,Juab,49023,"13,023",32.6,9.0,18.6
IA,Iowa,Jones,19105,"20,900",39.7,11.9,25.8
LA,Louisiana,Caldwell,22021,"9,389",38.6,16.7,35.7
TX,Texas,Anderson,48001,"57,736",39.9,13.9,30.6
VA,Virginia,Fairfax,51059,"1,141,878",24.0,10.7,19.4
OK,Oklahoma,Okmulgee,40111,"37,035",45.0,15.4,37.2
IN,Indiana,Spencer,18147,"19,910",39.9,13.4,24.0
WA,Washington,San Juan,53055,"18,566",24.7,10.9,15.8
MT,Montana,Hill,30041,"16,276",38.5,12.1,25.3
TN,Tennessee,Maury,47119,"110,760",35.2,12.6,24.6
SD,South Dakota,Hanson,46061,"3,471",36.6,12.1,24.2
WI,Wisconsin,Marquette,55077,"15,838",43.4,14.6,32.9
CO,Colorado,Moffat,08081,"13,327",28.5,10.8,22.1
NV,Nevada,Elko,32007,"54,293",38.0,11.0,25.8
MT,Montana,Valley,30105,"7,474",32.7,11.6,24.6
WI,Wisconsin,Langlade,55067,"19,404",37.1,14.1,33.0
NC,North Carolina,Graham,37075,"8,052",35.1,13.1,25.7
TX,Texas,Llano,48299,"22,875",35.8,15.7,28.1
ND,North Dakota,McHenry,38049,"5,131",42.1,11.9,26.2
TN,Tennessee,Trousdale,47169,"12,271",39.1,11.7,27.9
TX,Texas,Collingsworth,48087,"2,563",39.3,15.5,32.0
MN,Minnesota,Stearns,27145,"160,977",36.0,10.1,23.1
IN,Indiana,Lake,18089,"500,598",39.9,15.1,27.9
IA,Iowa,Story,19169,"98,566",30.8,8.1,20.1
IA,Iowa,Fremont,19071,"6,458",39.9,12.7,25.7
ID,Idaho,Idaho,16049,"17,890",31.8,12.8,25.0
IN,Indiana,Crawford,18025,"10,438",43.6,17.8,33.2
ID,Idaho,Jerome,16053,"25,479",35.8,12.6,30.1
CO,Colorado,Ouray,08091,"5,176",23.3,10.0,15.3
MO,Missouri,Johnson,29101,"54,962",35.3,9.6,26.0
UT,Utah,Weber,49057,"271,926",34.7,9.0,20.3
WA,Washington,Whitman,53075,"48,012",28.5,7.4,16.6
KS,Kansas,Norton,20137,"5,330",42.7,12.7,30.1
MS,Mississippi,Adams,28001,"28,746",41.2,20.6,41.6
AL,Alabama,Sumter,01119,"11,727",47.2,19.7,35.6
AR,Arkansas,Calhoun,05013,"4,641",39.2,14.6,33.8
NJ,New Jersey,Union,34039,"572,726",29.7,11.6,25.5
NE,Nebraska,Hooker,31091,679,39.7,13.3,29.0
SD,South Dakota,Jackson,46071,"2,776",40.9,18.6,35.2
TX,Texas,Real,48385,"2,854",38.1,18.3,34.6
NC,North Carolina,Pitt,37147,"175,119",39.0,12.0,25.2
MO,Missouri,Franklin,29071,"106,404",39.6,12.2,29.4
VT,Vermont,Rutland,50021,"60,271",35.5,10.3,22.2
LA,Louisiana,Calcasieu,22019,"203,761",43.0,14.2,32.9
CO,Colorado,Las Animas,08071,"14,348",32.5,13.7,26.0
CA,California,Lassen,06035,"28,861",34.2,11.5,26.1
TX,Texas,Morris,48343,"12,066",39.0,15.9,31.6
WA,Washington,Clark,53011,"521,150",35.3,9.6,19.8
MI,Michigan,Emmet,26047,"34,123",32.7,11.5,21.4
MA,Massachusetts,Hampshire,25015,"162,502",22.2,8.2,17.4
GA,Georgia,Wilkes,13317,"9,518",40.6,18.9,35.4
MO,Missouri,Audrain,29007,"24,394",40.0,14.1,34.8
VA,Virginia,Arlington,51013,"234,162",25.3,8.0,14.8
CO,Colorado,Custer,08027,"5,534",26.6,12.4,19.6
OK,Oklahoma,Alfalfa,40003,"5,673",40.6,13.5,31.7
AL,Alabama,Etowah,01055,"103,241",43.8,16.3,33.3
GA,Georgia,Chatham,13051,"303,655",33.0,13.1,25.2
IL,Illinois,Kane,17089,"514,982",35.1,11.5,23.1
MS,Mississippi,Holmes,28051,"15,777",50.7,23.3,45.0
OK,Oklahoma,Harmon,40057,"2,392",42.4,17.0,39.3
AK,Alaska,Bristol Bay,02060,844,34.9,11.3,22.2
GA,Georgia,Bacon,13005,"11,124",36.9,14.9,32.7
LA,Louisiana,Jackson,22049,"14,746",44.9,17.7,37.1
MO,Missouri,Cass,29037,"111,732",38.0,11.5,26.3
AL,Alabama,Clarke,01025,"22,337",43.9,18.4,34.4
OK,Oklahoma,Pittsburg,40121,"43,479",40.1,14.3,33.8
NJ,New Jersey,Mercer,34021,"381,671",25.4,11.1,24.4
WV,West Virginia,Monongalia,54061,"107,718",31.9,10.8,22.9
NE,Nebraska,Cedar,31027,"8,262",40.2,11.3,25.4
GA,Georgia,Floyd,13115,"100,113",37.3,14.1,28.6
KS,Kansas,Kearny,20093,"3,823",37.6,12.9,32.2
WI,Wisconsin,Winnebago,55139,"171,735",40.0,11.2,27.7
FL,Florida,Suwannee,12121,"46,130",38.3,15.0,32.3
AL,Alabama,Pike,01109,"33,137",40.3,14.1,28.1
